carbon_percent,chromium_percent,manganese_percent,silicon_percent,nickel_percent,cobalt_percent,molybdenum_percent,tungsten_percent,niobium_percent,aluminium_percent,phosphorous_percent,copper_percent,titanium_percent,tantalum_percent,hafnium_percent,rhenium_percent,vanadium_percent,boron_percent,nitrogen_percent,oxygen_percent,sulphur_percent,yield_strength,uts,elongation,reduction_area
0.15,10.53,0.45,0.1,0.27,6.16,0.53,0.508,0.055,0.011,0.002,0.037,0,0.26,0,0,0.237,0.0088,0.0328,0.0028,0.0067,455,552,40,78
0.15,10.53,0.45,0.1,0.27,6.16,0.53,0.508,0.055,0.011,0.002,0.037,0,0.26,0,0,0.237,0.0088,0.0328,0.0028,0.0067,486.69,559.7,0,0
0.15,10.53,0.45,0.1,0.27,6.16,0.53,0.508,0.055,0.011,0.002,0.037,0,0.26,0,0,0.237,0.0088,0.0328,0.0028,0.0067,387,462,37,82
0.15,10.74,0.44,0.01,0.26,8.23,0.52,0.498,0.053,0.005,0.001,0.037,0,0.185,0,0,0.197,0.0095,0.0379,0.0023,0.0075,883,1062,20,55
0.15,10.74,0.44,0.01,0.26,8.23,0.52,0.498,0.053,0.005,0.001,0.037,0,0.185,0,0,0.197,0.0095,0.0379,0.0023,0.0075,864,1019,16.55,54
0.15,10.74,0.44,0.01,0.26,8.23,0.52,0.498,0.053,0.005,0.001,0.037,0,0.185,0,0,0.197,0.0095,0.0379,0.0023,0.0075,840,985,18.3,55
0.15,10.74,0.44,0.01,0.26,8.23,0.52,0.498,0.053,0.005,0.001,0.037,0,0.185,0,0,0.197,0.0095,0.0379,0.0023,0.0075,820.48,965.27,15,54
0.15,10.74,0.44,0.01,0.26,8.23,0.52,0.498,0.053,0.005,0.001,0.037,0,0.185,0,0,0.197,0.0095,0.0379,0.0023,0.0075,817,942,15.71,55
0.15,10.74,0.44,0.01,0.26,8.23,0.52,0.498,0.053,0.005,0.001,0.037,0,0.185,0,0,0.197,0.0095,0.0379,0.0023,0.0075,792.9,917,13,49
0.15,10.74,0.44,0.01,0.26,8.23,0.52,0.498,0.053,0.005,0.001,0.037,0,0.185,0,0,0.197,0.0095,0.0379,0.0023,0.0075,785,898,15.27,51
0.15,10.74,0.44,0.01,0.26,8.23,0.52,0.498,0.053,0.005,0.001,0.037,0,0.185,0,0,0.197,0.0095,0.0379,0.0023,0.0075,751.53,861.85,15,58
0.15,10.74,0.44,0.01,0.26,8.23,0.52,0.498,0.053,0.005,0.001,0.037,0,0.185,0,0,0.197,0.0095,0.0379,0.0023,0.0075,725,827,16.35,50
0.15,10.74,0.44,0.01,0.26,8.23,0.52,0.498,0.053,0.005,0.001,0.037,0,0.185,0,0,0.197,0.0095,0.0379,0.0023,0.0075,665.34,758.42,19,65
0.15,10.74,0.44,0.01,0.26,8.23,0.52,0.498,0.053,0.005,0.001,0.037,0,0.185,0,0,0.197,0.0095,0.0379,0.0023,0.0075,579.16,675.69,23,72
0.15,10.74,0.44,0.01,0.26,8.23,0.52,0.498,0.053,0.005,0.001,0.037,0,0.185,0,0,0.197,0.0095,0.0379,0.0023,0.0075,478,564,36,77
0.15,10.74,0.44,0.01,0.26,8.23,0.52,0.498,0.053,0.005,0.001,0.037,0,0.185,0,0,0.197,0.0095,0.0379,0.0023,0.0075,389,473,38,80
0.15,9.88,0.41,0.08,0.26,0.01,1.26,0.479,0.056,0.016,0.001,0.002,0,0.266,0,0,0.205,0.0083,0.0244,0.0043,0.005,832,983,21,63
0.15,9.88,0.41,0.08,0.26,0.01,1.26,0.479,0.056,0.016,0.001,0.002,0,0.266,0,0,0.205,0.0083,0.0244,0.0043,0.005,758.42,875.63,18,66
0.15,9.88,0.41,0.08,0.26,0.01,1.26,0.479,0.056,0.016,0.001,0.002,0,0.266,0,0,0.205,0.0083,0.0244,0.0043,0.005,723.95,827.37,16,65
0.15,9.88,0.41,0.08,0.26,0.01,1.26,0.479,0.056,0.016,0.001,0.002,0,0.266,0,0,0.205,0.0083,0.0244,0.0043,0.005,696.37,799.79,17,66
0.15,9.88,0.41,0.08,0.26,0.01,1.26,0.479,0.056,0.016,0.001,0.002,0,0.266,0,0,0.205,0.0083,0.0244,0.0043,0.005,627.42,710.16,21,71
0.15,9.88,0.41,0.08,0.26,0.01,1.26,0.479,0.056,0.016,0.001,0.002,0,0.266,0,0,0.205,0.0083,0.0244,0.0043,0.005,565.37,641.21,23,76
0.15,9.88,0.41,0.08,0.26,0.01,1.26,0.479,0.056,0.016,0.001,0.002,0,0.266,0,0,0.205,0.0083,0.0244,0.0043,0.005,462,535,27,77
0.15,9.88,0.41,0.08,0.26,0.01,1.26,0.479,0.056,0.016,0.001,0.002,0,0.266,0,0,0.205,0.0083,0.0244,0.0043,0.005,384,448,32,84
0.15,9.98,0.41,0.06,0.31,2.95,1.27,0.458,0.062,0.013,0.001,0.026,0,0.355,0,0,0.208,0.0075,0.0221,0.072,0.0039,853,1011,21,61
0.15,9.98,0.41,0.06,0.31,2.95,1.27,0.458,0.062,0.013,0.001,0.026,0,0.355,0,0,0.208,0.0075,0.0221,0.072,0.0039,822,960,19.65,63
0.15,9.98,0.41,0.06,0.31,2.95,1.27,0.458,0.062,0.013,0.001,0.026,0,0.355,0,0,0.208,0.0075,0.0221,0.072,0.0039,779.11,903.21,18,68
0.15,9.98,0.41,0.06,0.31,2.95,1.27,0.458,0.062,0.013,0.001,0.026,0,0.355,0,0,0.208,0.0075,0.0221,0.072,0.0039,744.63,861.85,16,66
0.15,9.98,0.41,0.06,0.31,2.95,1.27,0.458,0.062,0.013,0.001,0.026,0,0.355,0,0,0.208,0.0075,0.0221,0.072,0.0039,717.06,820.48,16,64
0.15,9.98,0.41,0.06,0.31,2.95,1.27,0.458,0.062,0.013,0.001,0.026,0,0.355,0,0,0.208,0.0075,0.0221,0.072,0.0039,699,791,18.58,65
